Species	6785	7135	5664	7296	6282	6733	6148	TC03G002530	AT5G08530	TC03G001430	5842	5913	5477	7583	TC00G083870	5449	5821	AT3G02760	6265	6620	6527	7021	TC05G005750	6274	6393	AT5G13030	NM_124699.3	5260	6859	7363	AT5G21070	6914	5816	5614	6363	5634	NM_179236.3	5335	4724	6398	TC09G026260	TC00G047210	AT3G59040	TC01G002420	6779	KT377118.1	KT377126.1	TC05G029300	5699	5034	6641	5116	5220	7141	TC02G009310	6238	6705	6563	6732	5536	5841	5870	4890	6299	5326	AT3G53700	TC08G013000	5772	5318	6782	6955	6004	4796	6954	5926	AT4G15420	6226	AT5G02860	5791	TC04G030490	AT4G00740	TC01G033670	6679	6056	5347	4757	AT3G46610	AT5G13520	5333	6198	5163	7111	7628	AT3G10150	AT3G56940	7136	TC02G004290	5328	5918	5703	6164	5090	5454	5273	7174	6533	AT4G33945	4802	AT5G55960	5339	5919	5366	6552	7367	6460	5981	5802	6459	6969	6098	6979	5857	5977	5489	6946	5936	6064	5355	6506	5463	5594	6387	6221	4793	6797	4942	6270	6913	6854	7128	TC04G019470	TC07G000920	TC06G006880	AT3G54690	5644	5968	AT3G04880	TC09G007890	5656	TC02G024400	5296	5733	6538	6933	TC01G007130	6227	6034	6457	6540	TC02G003180	5426	6958	6366	AT2G31240	5354	5849	6072	7194	5770	AT4G38890	KT377078.1	6041	6962	5206	6500	6550	5910	5942	5596	TC09G017950	6792	6860	AT3G54090	6110	TC01G021540	5865	AT1G52310	AT5G57930	6893	6150	6450	5945	AT1G02020	TC05G022880	TC01G032610	5162	5406	NM_113708.2	TC04G026920	6383	AT5G64370	KT377086.1	5940	6570	4992	AT5G50280	6048	6978	7336	TC09G010970	6531	TC09G009480	NM_001198514.1	NM_148067.4	TC05G027690	TC02G026940	KT377070.1	5941	5949	7028	KT377102.1	6130	6977	6483	6439	6036	6406	AT5G13630	6320	5427	5639	AT5G40440	4954	AT1G65380	AT3G56460	6051	5348	AT4G39520	AJ133743.1	TC04G028160	5428	7325	TC02G006310	5434	6947	5343	6909	AT3G26782	6379	6407	TC01G005310	6865	4951	6528	TC04G030670	5138	7572	AT5G13400	TC06G016050	5264	5531	6667	6875	AT2G35790	AT1G17160	4806	7024	6924	TC09G026350	TC09G025650	TC03G025580	6713	TC01G019250	TC06G020780	TC09G004790	5815	6492	TC05G003200	6882	6995	7331	TC03G023900	6639	TC05G024510	5859	6848	AT1G48520	6114	4932	7273	5980	6565	5104	6284	6412	5893	6825	6000	5064	5398	5464	6494	TC01G040040	6448	6488	KT377094.1	5421	5177	TC01G019030	AT2G33630	5716	6378	5271	6636	6532	5032	6507	5460	4848	5702	6139	6864	6631	7333	7371	6544	6557	7602	6050	6487	5866	6405	AT2G35130	TC03G010340	4744	6601	6175	6318	TC07G011130	5578	4889	7029	TC05G008010	5554	AT5G23940	5843	TC06G011670	TC09G034320	TC04G015820	4471	5960	7324	5123	5933	6401	7577	TC03G012430	AT2G01650	6119	TC02G023190	5188	6780	5599	5958	6447	6216	6791	6430	5990	AT3G24190	6420	AT1G63680	5513	6883	4691	5469	TC03G028600	5660	7241	7279	TC07G000500
FMN_104811_P005_WC03	0	450	0	0	120	0	0	972	1452	789	0	0	663	0	2586	864	0	2358	0	444	330	243	1260	0	0	1548	168	0	0	0	519	420	0	0	0	0	1371	0	495	234	579	1128	1386	1116	0	792	684	1836	726	0	300	204	297	0	687	0	228	444	0	0	477	660	0	0	1236	1596	990	0	147	255	0	660	0	0	327	1413	168	1494	177	1089	1176	930	0	93	219	0	1659	1833	0	0	459	0	0	933	756	408	657	441	0	0	0	261	1134	384	132	240	435	348	1833	270	645	69	0	0	663	0	0	429	0	1164	813	0	0	0	0	678	0	0	0	306	489	0	183	0	0	306	0	624	261	591	777	1233	1317	654	354	0	918	1548	0	1215	0	0	0	0	1356	591	0	0	0	1032	1041	0	0	1518	0	426	0	0	0	1242	351	468	0	354	240	0	0	600	1872	1965	384	0	1347	0	612	0	1185	834	0	0	0	561	1632	939	678	0	2004	354	624	0	1008	654	0	519	564	1998	0	0	0	729	480	1428	2262	747	1086	1359	630	270	0	0	414	0	0	0	432	1002	0	3678	228	0	513	666	1080	906	951	1197	0	594	1002	870	0	0	471	1029	0	705	378	1437	0	0	948	279	0	378	1005	0	564	1857	825	1485	0	630	1308	564	699	0	0	0	1125	681	1743	0	1719	0	663	261	387	600	0	0	0	678	0	1632	957	0	630	0	567	0	381	0	0	711	0	477	0	210	0	621	0	573	1146	165	0	204	135	0	957	1434	597	0	0	0	96	0	0	0	513	426	609	0	0	450	0	591	0	0	0	1071	0	0	1191	849	0	0	1035	0	705	0	0	0	1980	489	894	0	1578	1389	2028	171	0	420	0	0	0	0	1410	1395	1404	1188	0	0	0	0	0	0	0	0	0	930	330	2181	129	423	0	546	648	0	273	0	1422
FMN_104811_P005_WC05	0	375	0	0	0	0	0	864	1452	780	0	0	483	0	2586	807	0	2361	0	366	369	0	1257	0	0	1416	156	0	0	0	441	0	0	0	0	0	1494	0	495	135	576	0	612	1062	0	798	798	1818	363	0	0	249	0	0	687	0	228	444	0	0	372	327	0	0	1461	1272	990	0	138	0	0	723	0	0	186	1413	0	1476	117	774	1152	930	0	0	219	0	1659	1812	0	0	276	0	0	990	780	213	660	441	0	0	0	291	1197	0	0	0	585	0	1923	243	636	69	0	0	675	0	0	0	0	1530	465	0	0	0	0	474	0	0	0	159	0	0	429	0	0	174	0	624	225	348	777	651	1212	879	258	0	885	1557	0	1407	0	0	0	0	1362	591	0	0	0	1032	1005	0	0	1521	0	186	0	0	0	1014	324	387	0	0	342	267	0	600	1407	1938	381	0	1362	0	555	0	1503	834	0	0	0	510	1599	825	552	0	1275	354	0	0	1053	666	0	519	0	1905	0	0	0	621	432	915	2262	573	768	1359	705	0	0	0	231	0	0	0	255	1020	0	3513	0	0	408	555	993	906	888	1185	0	606	1002	855	0	0	228	957	0	702	312	1437	0	0	852	363	0	297	876	0	618	1857	720	825	264	516	1305	564	726	0	0	0	966	681	1680	0	1722	0	729	174	414	600	0	0	0	681	0	1635	621	0	633	0	498	0	318	0	0	714	0	0	0	240	0	567	0	1014	1113	0	0	204	141	0	942	1434	219	0	0	0	0	0	0	0	486	285	396	0	0	780	0	594	0	0	0	723	0	0	696	744	0	0	1191	0	0	0	0	0	1965	504	1080	0	1128	1389	2049	0	0	429	0	0	0	0	1404	1404	1410	1188	0	0	0	360	0	0	0	0	0	702	339	1992	129	0	0	501	648	0	0	0	1626
FMN_104811_P005_WC06	0	327	0	0	0	0	0	702	1458	813	0	0	474	0	2571	630	0	2340	0	0	177	0	1107	0	0	1380	156	0	0	0	519	375	0	0	0	0	1371	0	489	0	579	0	1185	1062	0	699	504	1836	0	0	267	174	0	0	687	0	0	345	0	0	372	207	0	0	0	1272	990	0	249	0	0	669	0	0	282	1413	0	1737	0	0	1056	879	0	0	0	0	1662	1548	0	0	0	0	0	645	762	138	660	441	0	0	0	231	795	0	0	0	414	0	1557	363	588	0	0	0	486	0	0	0	0	1191	0	0	0	0	0	489	0	0	0	234	0	0	0	0	0	0	0	609	225	0	777	687	1317	663	243	0	918	1563	0	1215	0	0	0	0	1362	591	0	0	0	1032	933	0	0	1521	0	243	0	0	0	1275	204	435	0	186	0	0	0	600	1101	1959	441	0	693	0	507	0	1503	834	0	0	0	186	1632	669	0	0	759	369	0	0	1002	576	0	519	486	1539	0	0	0	690	153	1407	1149	495	969	1353	549	0	0	0	267	0	0	0	393	1002	0	3672	0	0	0	666	993	906	951	1194	0	549	993	870	0	0	567	1017	0	549	0	1272	0	0	852	288	0	0	612	0	0	1857	405	762	0	306	1305	564	699	0	0	0	999	681	1464	0	1722	0	663	132	0	600	0	0	0	513	0	1635	621	0	624	0	699	0	372	0	0	714	0	0	0	210	0	741	0	387	969	0	0	204	0	0	942	1434	429	0	0	0	0	0	0	0	0	303	0	0	0	762	0	327	0	0	0	657	0	0	699	771	0	0	1152	0	0	0	0	0	1971	471	894	0	975	1389	2049	0	0	420	0	0	0	0	1404	1395	765	1182	0	0	0	360	0	0	0	0	0	930	339	2151	0	0	0	243	648	0	0	0	1329
FMN_104811_P005_WC07	0	186	0	0	0	0	0	804	1458	795	0	0	474	0	2586	744	0	2361	0	0	279	0	942	0	0	951	156	0	0	0	519	0	0	0	0	0	1317	0	468	129	660	0	1146	1062	0	684	633	1644	357	0	261	174	264	0	687	402	270	444	0	0	372	327	0	0	654	1272	987	0	198	336	0	657	0	0	246	1410	0	1422	117	1074	918	816	0	0	219	0	1659	1554	0	0	141	0	0	378	687	213	660	441	0	0	0	255	1089	0	0	270	384	0	1839	306	513	0	0	0	588	0	0	0	0	1068	0	0	0	0	0	528	0	0	0	309	0	0	0	0	0	288	0	393	225	0	777	267	1152	603	228	0	900	1557	0	1215	0	0	0	0	1362	591	0	0	0	1029	1050	0	0	1521	0	171	0	0	0	1347	318	933	0	396	285	0	0	600	1230	1323	399	0	1212	0	726	0	1503	879	0	0	0	192	1632	612	552	0	1296	324	738	0	996	618	0	519	567	1281	0	0	0	633	432	753	1143	510	873	1341	630	0	0	0	264	0	0	0	0	540	0	3471	0	0	357	447	993	906	894	1188	0	573	1002	870	0	0	450	1053	0	654	0	1437	0	0	714	363	0	0	873	0	522	1857	822	717	0	684	1305	564	702	0	0	0	999	681	1419	0	1722	273	609	174	387	525	0	0	0	681	0	1635	621	0	594	0	411	0	228	0	0	714	0	0	0	213	0	507	0	423	969	78	0	204	0	0	942	1272	354	0	0	0	96	0	0	0	240	324	300	0	0	735	0	267	0	0	0	537	0	0	696	645	0	0	1152	0	234	0	0	0	1983	0	894	0	777	1389	2049	0	0	327	0	0	0	0	1137	1395	771	1188	0	0	0	0	0	0	0	0	0	702	339	2022	0	0	0	150	648	0	0	0	1299
FMN_104811_P005_WC08	0	375	0	0	0	0	0	999	1452	804	0	0	399	0	2613	615	0	2358	0	432	390	243	1260	0	0	1380	168	0	0	0	519	165	0	0	0	0	1494	84	495	348	579	513	1542	1023	0	813	684	2007	633	0	240	360	216	0	687	0	228	546	0	0	549	660	0	0	1149	1272	990	0	231	255	0	795	0	0	135	1413	0	1494	0	1218	1527	930	0	93	219	0	1659	1803	0	0	0	0	0	666	1158	213	657	441	0	0	0	261	1140	111	0	591	297	393	1929	243	615	69	0	0	726	0	0	417	0	1158	582	0	0	0	0	678	0	0	0	306	426	0	276	0	0	453	0	633	264	534	777	888	1317	651	306	0	918	1548	0	1215	0	0	0	0	1359	591	0	0	0	1032	1314	0	0	1668	0	243	0	0	0	1140	351	984	0	195	336	267	300	600	1869	1938	435	0	1347	0	612	0	1560	1167	0	0	0	573	1632	858	870	0	1902	354	819	0	1110	891	0	519	906	1998	0	0	0	657	468	1434	2262	771	1008	1359	630	0	0	0	417	351	0	0	507	1020	0	3687	264	0	453	447	993	906	942	1197	0	642	1002	870	0	0	450	936	0	606	552	1437	0	0	1095	279	0	291	1209	0	615	1857	828	1248	345	603	1308	564	699	0	0	0	1338	681	1605	0	1719	0	747	462	402	600	0	0	0	885	0	1632	957	222	630	0	807	0	381	0	0	714	0	408	0	210	0	882	0	654	1146	165	0	285	138	0	945	1434	546	0	0	0	96	0	0	0	276	324	471	0	0	768	0	633	0	0	0	1008	0	0	1191	906	0	0	1026	0	585	210	0	0	1980	417	975	0	1578	1389	2049	177	0	420	0	0	0	0	1413	1407	1389	1188	0	0	0	360	0	0	0	0	0	924	336	2196	264	423	0	531	648	0	273	0	1614
FMN_104811_P005_WC09	0	423	0	0	0	0	0	1047	1452	789	0	0	462	0	2586	822	0	2361	0	438	300	159	1131	0	0	837	156	0	0	0	519	318	0	0	0	0	1371	0	306	141	579	0	717	1062	0	879	510	1833	258	0	180	174	252	0	687	0	228	501	0	0	372	252	0	0	642	1272	990	0	198	336	0	651	0	0	135	1413	0	1497	72	1089	1152	909	0	0	219	0	1659	1662	0	0	420	0	0	879	1047	213	660	213	0	0	0	234	1197	0	0	234	429	279	1938	288	582	69	0	0	687	0	0	0	0	1212	417	0	0	0	0	372	0	0	0	309	0	0	369	0	0	255	0	612	270	510	756	663	1272	651	291	0	900	1563	0	1218	0	0	0	0	1362	591	0	0	0	1029	966	0	0	1521	0	171	0	0	0	1335	318	360	0	276	0	246	0	600	1692	1938	420	90	1362	249	372	0	1503	834	0	0	0	306	1599	669	552	0	774	324	738	0	1104	624	0	519	162	1281	0	0	0	663	510	921	2268	594	1119	1359	630	168	0	0	411	0	0	0	384	588	0	3477	228	0	330	666	993	906	879	1197	0	558	1002	870	0	0	450	1038	0	711	237	1437	0	0	852	285	0	348	711	0	540	1854	822	1395	222	507	1305	564	702	0	0	0	999	681	1446	0	1722	0	747	258	387	600	0	0	0	681	0	1635	621	0	630	0	546	0	291	0	0	714	0	0	0	195	0	507	0	990	1074	78	0	204	141	0	924	1374	405	0	0	0	0	0	0	0	432	324	420	0	0	780	0	606	0	0	0	675	0	0	696	768	0	0	1038	0	576	0	0	159	1962	429	900	0	1191	1386	2049	111	0	384	0	519	0	0	1401	1404	855	720	174	0	0	0	0	0	0	0	0	702	321	2151	144	0	0	408	648	0	0	0	1287
FMN_104811_P005_WC12	0	417	237	0	204	0	153	1098	1458	810	0	0	663	0	2430	975	0	2361	0	543	306	225	1263	0	0	1311	156	0	0	0	531	375	0	0	0	0	1494	120	558	153	579	0	1185	924	0	1011	684	1806	378	0	336	369	297	0	684	495	228	564	0	0	675	366	0	354	1509	1272	990	0	246	336	324	840	0	0	336	1413	168	1647	114	1218	1734	930	0	93	219	0	1656	1833	0	0	531	0	0	978	1155	213	660	441	0	0	0	267	1197	474	0	495	822	348	1923	411	630	117	0	0	843	0	267	375	0	1164	816	0	0	0	0	795	0	0	0	384	651	558	555	0	0	306	0	720	408	588	777	1038	1317	978	354	0	900	1563	0	1212	0	0	0	0	1362	591	0	0	0	1032	1137	438	0	1521	0	243	0	0	0	1428	351	987	183	396	618	267	0	600	1392	1938	510	0	1362	342	534	0	1560	834	0	0	0	426	1599	900	1038	0	2034	354	891	0	1104	720	0	519	852	1953	0	0	0	762	591	1296	2259	819	1191	1359	630	654	0	0	453	150	0	0	453	1413	0	3831	273	0	510	774	1065	906	951	1197	0	705	1002	870	0	0	585	1050	0	711	561	942	0	0	978	363	0	384	1017	0	618	1857	822	1476	354	723	1305	564	816	0	0	0	1041	681	1839	0	1722	0	816	345	528	600	0	0	168	681	0	1635	960	0	630	0	696	0	462	0	0	672	0	0	0	558	0	762	0	1083	972	165	0	285	141	0	942	1434	552	0	0	0	252	0	0	0	771	477	909	0	0	765	0	831	0	438	126	867	0	0	1191	1023	0	0	1275	0	585	0	0	0	1971	504	1020	0	1584	1389	2049	120	0	675	0	507	0	0	1404	1404	1407	1188	0	0	0	360	0	0	0	0	0	930	339	2256	225	423	0	633	648	0	0	0	1410
FMN_104811_P005_WD01	0	390	0	0	468	0	387	1173	1452	795	0	0	663	0	2583	921	0	2622	0	924	492	204	1263	0	0	1548	156	0	0	0	669	192	0	0	0	0	1494	54	684	369	657	1128	1146	735	0	930	720	1833	549	0	306	282	297	0	687	0	231	513	0	0	603	381	0	0	1509	1272	990	0	246	429	312	840	0	0	336	1413	168	1791	300	1296	1713	930	0	93	219	0	1659	1833	0	0	372	0	0	1026	1209	414	657	441	0	0	345	267	1182	0	0	405	489	213	1944	474	642	63	0	0	876	0	267	540	0	1164	816	0	0	0	0	786	0	0	0	357	651	813	468	0	0	306	0	720	288	570	777	1305	1317	978	354	0	909	1563	0	1218	0	0	0	0	1362	591	0	0	0	1032	1305	582	0	1521	0	282	0	0	0	1440	351	966	0	396	603	267	354	600	1446	1959	513	264	1374	342	1044	0	1185	834	0	0	420	519	1644	816	1107	972	1815	354	801	0	1086	639	0	519	717	1986	0	0	0	663	591	1434	2262	762	1173	1359	864	636	0	222	411	294	0	0	453	1296	0	4146	258	0	597	666	993	906	951	1197	0	606	1002	870	0	0	450	987	0	729	519	1437	0	0	1029	363	0	411	1173	0	888	1857	831	1506	354	714	1305	564	726	0	0	0	1128	681	2187	0	1722	513	747	399	558	600	0	0	120	771	0	1635	960	447	624	0	693	0	417	0	0	714	0	612	0	609	0	771	153	1212	861	165	0	285	141	0	942	1434	615	0	0	0	0	0	0	0	1101	630	852	0	0	798	0	948	0	609	0	1059	0	0	1191	1182	0	0	1281	0	585	204	0	0	1965	513	1251	0	1581	1389	2049	138	0	396	0	771	0	0	1371	1395	1407	1188	273	0	0	360	0	0	0	0	0	930	339	2112	369	423	510	612	639	0	0	0	1359
FMN_104811_P005_WD02	0	570	0	0	108	0	0	1149	1458	789	0	0	474	0	2586	843	0	2361	0	486	486	264	1263	0	0	1380	159	0	0	0	519	375	0	0	0	0	1494	120	678	378	483	0	1185	1062	0	906	684	1842	291	0	336	516	279	0	684	0	270	750	0	0	372	342	0	0	1197	1272	990	0	186	336	327	837	0	0	339	1413	0	1791	189	1173	1368	930	0	93	219	0	1659	1791	0	0	288	0	0	1026	1080	213	660	441	0	0	0	267	1416	141	0	342	681	288	1938	441	642	66	0	0	921	0	267	468	0	1164	0	0	0	0	0	978	0	0	0	390	651	0	444	0	0	291	0	624	369	564	813	1287	1317	978	354	0	900	1563	0	1218	0	0	0	0	1362	591	0	0	0	1032	1203	0	0	1620	0	243	0	0	0	1446	348	774	0	474	684	267	0	600	1776	1938	507	0	1362	0	837	0	1185	834	0	0	0	426	1644	918	939	549	2046	354	957	0	1107	588	0	519	435	1953	0	351	0	762	378	1434	2262	861	1002	1359	705	432	0	0	411	345	132	0	507	1332	0	3885	345	0	597	666	1080	906	951	1191	0	684	1002	870	0	0	567	1053	0	729	417	1437	0	0	978	363	0	396	1125	0	618	1857	831	1656	339	645	1305	564	726	0	0	0	1185	681	1752	0	1722	0	747	477	528	600	0	0	135	681	0	1635	621	0	693	0	837	0	480	0	0	1239	0	0	0	609	0	978	0	501	1164	165	0	285	141	0	942	1434	561	0	0	0	156	0	0	0	771	477	924	0	0	786	0	891	0	0	0	969	0	0	663	915	0	0	1242	0	753	180	0	0	1965	549	1116	0	1581	1389	2049	0	0	507	0	495	0	0	1404	1395	1395	1188	0	0	0	360	0	0	0	0	0	930	339	2175	303	0	0	657	648	0	0	0	1701
FMN_104811_P005_WD04	0	462	0	0	108	0	0	1068	1458	792	0	0	612	0	2580	630	0	2361	0	309	336	201	1128	0	0	1365	159	0	0	0	519	366	0	0	0	0	1494	0	435	312	645	306	1185	1062	0	906	684	1857	567	0	240	198	297	0	687	429	228	513	0	0	399	318	0	0	690	1272	990	0	339	255	0	804	0	0	333	1413	0	1791	0	1086	1152	885	0	0	219	0	1659	1824	0	0	306	0	0	948	1149	213	660	441	0	0	0	267	1116	114	0	318	783	0	1944	441	624	69	0	0	774	0	267	0	0	1164	321	0	0	0	0	750	0	0	0	309	0	0	303	0	0	216	0	633	288	657	777	663	1317	978	288	0	885	1563	0	1218	0	0	0	0	1362	591	0	0	0	1032	1209	0	0	1521	0	192	0	0	0	1353	324	774	0	357	582	267	0	600	1620	1959	366	0	1359	0	444	0	1503	834	0	0	0	423	1632	669	582	0	753	333	807	0	1104	666	0	519	174	1953	0	0	0	762	477	1296	2262	555	909	1359	864	0	0	0	411	0	0	0	432	1002	0	2460	228	0	357	666	1020	906	951	1197	0	621	1002	870	0	0	585	1038	0	702	0	1437	0	0	879	285	0	384	972	0	696	1857	789	870	306	723	1305	564	726	0	0	0	1077	681	1443	0	1719	0	747	360	513	600	0	0	0	681	0	1635	621	0	630	0	615	0	402	0	0	714	0	0	0	213	0	990	0	1122	1029	165	0	204	141	0	942	1413	591	0	0	0	0	0	0	0	1104	366	426	0	0	741	0	627	0	0	0	633	0	0	1191	759	0	0	1152	0	642	0	0	0	1965	489	867	0	1488	1389	1944	120	0	435	0	210	0	0	1395	1404	1332	1188	0	0	0	360	0	0	0	0	0	930	339	2175	198	201	0	255	648	0	0	0	1431
FMN_104811_P005_WD05	0	447	0	0	108	0	0	1047	1458	789	0	0	477	0	2586	1074	0	2361	0	0	396	309	1020	0	0	1302	159	0	0	0	519	192	0	0	0	0	1494	189	345	246	576	0	1185	1197	0	786	684	1830	366	0	336	174	294	0	687	309	228	573	0	0	684	360	0	0	1185	1272	990	0	459	255	0	705	0	0	339	1413	0	1377	0	969	1122	924	0	93	219	0	1659	1788	0	0	405	0	0	990	1071	213	660	441	0	0	0	267	1161	114	0	342	831	0	1905	441	642	87	0	0	843	0	267	264	0	1164	540	0	0	0	0	372	0	0	0	366	0	0	396	0	216	288	0	678	276	546	777	786	1317	603	354	0	900	1563	0	1218	0	0	0	0	1362	591	0	0	0	1032	1059	0	0	1521	0	243	0	0	0	1353	318	489	0	171	468	267	0	600	1728	1938	330	0	1362	0	639	0	1503	834	0	0	0	543	1599	450	681	0	1545	324	792	0	1107	888	0	519	729	1953	0	0	213	675	552	1431	2262	555	1122	1359	630	276	0	0	417	0	0	0	432	1020	0	3753	315	0	396	666	975	906	933	1185	0	681	1002	870	0	0	510	1053	0	711	498	1437	0	0	852	363	0	354	948	0	486	1857	822	870	354	516	1305	564	726	0	159	0	999	681	1575	0	1722	0	693	597	528	600	0	0	120	681	0	1635	621	0	606	0	606	0	411	0	0	714	0	0	0	213	0	987	0	804	1122	165	0	225	204	0	942	1434	609	0	0	0	144	0	0	0	765	324	351	0	0	753	0	627	0	0	0	738	0	0	696	915	0	0	1152	0	585	201	0	0	1965	504	900	0	1326	1389	2037	219	0	429	0	327	0	0	1401	1404	1377	1188	174	0	0	252	0	0	0	0	0	930	339	2166	231	0	0	510	648	0	0	0	1383
FMN_104811_P005_WD06	0	312	213	0	108	0	0	1050	1458	789	0	0	474	0	2583	771	0	2340	0	438	300	336	1134	0	0	1341	156	0	0	0	519	303	0	0	0	0	1494	0	495	153	579	0	1185	1215	0	909	684	1833	291	0	336	372	297	0	687	330	228	513	0	0	480	327	0	0	1329	1575	990	0	246	336	0	837	0	0	333	1413	0	1791	0	1002	1056	882	0	93	219	0	1662	1656	0	0	399	0	0	990	972	210	651	441	0	0	0	267	1113	0	0	339	708	0	1890	351	642	69	0	0	606	0	0	321	0	1212	0	0	0	0	0	666	0	0	0	309	0	528	0	0	0	189	0	633	330	336	777	1281	1317	984	402	0	912	1563	0	1215	0	0	0	0	1365	591	0	0	0	1032	1104	222	0	1521	0	171	0	0	0	1416	339	987	0	255	294	267	0	600	1728	1959	441	0	1269	0	627	0	1503	834	0	0	0	465	1599	666	600	0	759	342	891	0	1068	648	0	519	639	1944	0	0	252	669	510	1431	2262	681	1068	1353	684	396	0	0	408	0	0	0	411	1032	0	3576	228	0	354	666	1080	906	984	1197	0	621	993	870	0	0	552	588	0	729	300	1437	0	0	864	363	0	384	1044	0	459	1857	801	891	0	639	1305	564	804	0	0	0	999	681	1596	0	1722	696	747	342	351	600	0	0	0	669	0	1635	621	0	624	0	837	0	435	0	0	714	0	0	0	345	0	813	0	489	969	165	0	285	99	0	942	1425	597	0	0	0	123	0	0	0	378	480	891	0	0	765	0	831	0	0	0	855	0	0	1191	936	0	0	1152	0	585	0	0	0	1986	504	894	0	1443	1389	2049	120	0	468	0	0	0	0	1398	1395	1407	1188	0	0	0	0	0	0	0	0	0	930	363	2100	0	165	0	426	648	0	0	0	1443
FMN_104811_P005_WD07	0	459	0	0	162	0	0	1068	1458	792	0	0	627	0	2580	984	0	2361	0	585	438	225	942	0	0	1401	156	0	0	0	519	276	0	0	0	0	1494	0	468	312	639	0	1317	1062	0	906	612	1833	378	0	321	174	297	0	687	609	270	519	0	0	372	255	0	0	1509	1272	1038	0	243	336	0	786	0	0	336	1413	198	1662	117	1086	1152	930	0	93	219	0	1659	1731	0	0	336	0	0	978	909	213	660	441	0	0	0	474	996	114	0	342	666	348	1917	372	642	69	0	0	711	0	159	300	0	1182	417	0	0	0	0	639	0	0	0	309	0	0	477	0	0	270	0	624	363	501	777	816	1254	978	354	0	882	1563	0	1218	0	0	0	0	1368	591	0	0	0	1032	1125	0	0	1521	0	171	0	0	0	1353	351	408	291	171	549	267	162	600	1728	1959	507	0	1365	0	609	0	1503	834	0	0	0	426	1599	792	609	540	1296	354	876	0	1104	855	0	519	780	1986	0	0	0	840	555	1431	2262	825	1011	1359	702	324	0	0	414	0	0	0	384	1002	0	3885	228	0	495	666	993	906	948	1197	0	645	999	870	0	0	555	1038	0	723	528	1437	0	0	900	279	0	384	996	0	612	1857	825	1395	309	696	1305	564	726	0	0	0	1014	681	1743	0	1722	882	747	297	528	600	0	0	0	696	0	1635	621	237	630	0	663	0	414	0	0	714	0	0	0	264	0	978	0	876	1113	165	0	285	0	0	942	1434	603	0	0	0	123	0	0	0	771	240	462	0	0	762	0	609	0	0	0	732	0	0	1191	858	0	0	1218	0	585	0	0	0	1965	504	861	0	1425	1389	2049	165	0	327	0	300	0	0	1137	1404	1407	1188	0	0	0	0	0	0	0	0	0	924	339	2175	129	423	0	357	648	0	0	0	1389
FMN_104811_P005_WD08	0	399	0	0	108	0	0	1059	1458	789	0	0	474	0	2580	723	0	2364	0	438	300	0	1113	0	0	1296	156	0	0	0	519	375	0	0	0	0	1494	0	465	135	783	0	1185	1062	0	798	684	1833	291	0	462	171	297	0	684	348	270	657	0	0	372	330	0	0	732	1272	990	0	141	336	0	687	0	0	333	1413	0	1419	0	1086	1062	846	0	93	219	0	1659	1704	0	0	333	0	0	600	951	213	660	441	0	0	0	285	1086	0	0	264	297	408	1872	441	642	66	0	0	642	0	267	402	0	1212	552	0	0	0	0	618	0	0	0	309	0	0	327	0	0	306	0	624	363	537	777	633	1317	978	354	0	885	1563	0	1218	0	0	0	0	1362	591	0	0	0	1032	1056	174	0	1521	0	243	0	0	0	1443	351	441	0	396	369	0	0	588	1728	1938	426	0	1368	0	627	0	1185	834	0	0	0	426	1632	711	423	0	1545	354	858	0	996	666	0	507	528	1953	0	0	0	753	480	1431	2262	678	960	1359	630	393	0	0	411	198	0	0	399	1002	0	3672	228	0	597	555	993	906	858	1185	0	504	999	870	0	0	450	984	0	711	351	1437	0	0	921	363	0	363	750	0	612	1857	822	636	246	639	1305	564	726	0	0	0	966	681	1623	0	1725	330	714	354	477	600	0	0	78	783	0	1635	621	0	624	0	666	0	318	0	0	714	0	0	0	336	0	801	0	687	945	102	0	285	0	0	942	1434	615	0	0	0	123	0	0	0	315	240	471	0	0	780	0	315	0	0	0	597	0	0	861	915	0	0	1098	0	585	0	0	0	1965	504	981	0	1275	1389	2049	219	0	429	0	201	0	0	1137	1395	1407	1188	0	0	0	0	0	0	0	0	0	930	339	2175	129	171	0	600	639	0	0	0	1380
