Species	6733	TC01G007130	6958	TC01G019250	6978	5264	5354	AT1G48520	AT3G02760	6363	TC03G023900	TC04G028160	5449	TC02G024400	NM_179236.3	5913	5513	TC02G003180	6631	AT5G64370	6274	6875	4691	4992	TC01G002420	5104	6860	4954	6882	5398	5123	5116	5335	AT5G50280	7371	6050	AT3G53700	7241	5347	5958	6148	6216	5463	6995	5434	AT3G10150	6557	5477	5865	6150	5454	7194	6641	AT3G54090	TC06G011670	6507	7363	NM_148067.4	5866	6620	5489	6130	6946	6532	5634	4951	6265	5772	AT3G04880	6705	6064	6420	6864	KT377094.1	AT5G40440	4471	AT5G08530	AT3G59040	6483	5064	6962	AT5G21070	TC05G022880	5426	AT3G46610	TC06G020780	6538	7324	6401	6531	6639	AT2G31240	5594	5427	4793	7577	6318	6785	6732	6282	AT4G39520	7336	AT5G57930	5464	6825	5469	5260	5644	7141	6098	TC04G026920	6969	AT1G02020	5933	5816	5554	AT4G00740	6487	6636	TC03G001430	TC04G030670	4802	TC01G040040	AT4G33945	TC09G007890	TC01G019030	5919	6913	4724	TC09G034320	AT3G54690	6139	5090	TC03G010340	TC05G008010	6379	5926	7602	6533	5220	6570	6565	6601	5821	7333	5842	TC08G013000	5536	7583	AT2G33630	TC05G005750	6492	TC07G000920	5716	6459	7028	5980	6320	AT5G02860	6048	6270	5339	5977	6366	5326	6909	AT2G35790	5318	4942	TC00G083870	KT377070.1	5343	5355	AT3G26782	AT5G13400	TC05G024510	5815	5406	TC01G005310	TC04G015820	5941	AJ133743.1	6859	5664	5273	5770	5614	TC01G033670	4848	TC04G030490	AT1G65380	4889	6848	6540	7325	6407	TC00G047210	TC06G006880	6412	5942	TC09G025650	5945	6977	5859	6439	6056	AT3G56460	TC09G026260	6175	7135	TC07G011130	5791	TC02G006310	6933	7273	AT1G17160	6791	6448	6506	TC02G009310	5162	6563	5936	4890	6792	AT5G13630	TC03G028600	6041	6924	6227	6238	NM_113708.2	7111	6979	5857	6854	6198	6378	5849	5188	6955	KT377086.1	5596	5328	5163	5660	7136	6782	5531	6072	6393	6780	TC02G004290	5949	5599	AT4G15420	6552	5910	6387	4796	6034	6221	TC01G021540	6947	AT1G52310	NM_124699.3	6883	6460	5296	6679	AT5G13030	7296	6914	5333	5870	6779	5032	6488	7572	5841	TC03G025580	5271	6110	TC04G019470	7367	6450	5656	KT377078.1	TC05G029300	6865	6430	5893	7128	5639	7024	6954	TC05G027690	TC03G012430	4806	7279	AT2G35130	TC09G017950	5918	TC09G004790	6667	5699	TC09G010970	6447	6398	6457	NM_001198514.1	4932	6226	5990	AT5G23940	5802	6893	TC06G016050	6051	TC09G009480	6284	6406	TC01G032610	6405	7331	KT377126.1	AT5G13520	TC02G026940	6550	7174	TC03G002530	5460	AT3G56940	6494	6036	5981	6114	5703	6299	5968	4757	5421	5940	5843	5206	5177	TC02G023190	5578	6004	5960	6544	AT3G24190	TC05G003200	6527	TC07G000500	6000	5034	TC09G026350	5366	7021	5702	AT1G63680	5733	KT377102.1	7628	AT2G01650	6713	KT377118.1	6383	AT5G55960	5138	AT4G38890	6164	7029	5348	4744	5428	6119	6500	6528	6797
FMN_104811_P005_WC09	0	1575	0	2113	0	2653	0	1195	4200	0	1164	1464	1239	1763	6031	0	643	1797	0	2324	0	2183	0	546	1557	0	414	1816	0	1759	0	602	0	2807	0	0	1889	0	707	0	0	0	817	0	1641	2370	0	2805	0	0	1683	0	555	2086	1365	0	0	1761	0	605	0	0	0	0	0	0	0	0	1437	605	0	1203	0	1248	2425	479	2229	2384	0	0	0	1467	1059	1119	2243	0	0	764	0	1298	0	2047	0	0	0	0	0	0	0	0	1175	0	2212	0	0	928	0	692	0	1774	1044	0	2380	777	0	832	1904	2803	0	1297	1830	713	1638	2388	2070	1236	880	1875	1008	2282	1578	790	1132	1039	2474	0	633	0	547	642	1419	0	0	0	1105	0	1523	0	0	2323	1447	747	1164	1904	0	0	894	617	2502	0	0	679	0	0	950	692	915	1455	766	3294	1430	1005	0	2078	2614	2349	1125	3675	1417	2703	473	1793	0	0	0	0	0	3164	650	1474	1838	0	0	0	0	0	0	1693	0	1014	1137	1286	0	1562	859	0	1628	1063	1792	1041	1065	367	1096	0	0	1261	0	511	0	1234	0	1234	1412	0	860	4450	1513	1420	0	1693	0	1153	0	592	0	797	0	0	615	577	0	1289	2426	945	981	0	1896	669	527	0	0	0	1284	0	0	2376	0	0	0	0	0	745	702	0	2593	962	0	934	0	0	0	0	641	0	1445	0	0	0	807	2225	1670	0	356	1376	0	0	0	1189	2645	1087	0	0	709	432	0	0	1622	1919	0	0	2560	2459	0	1505	992	824	1240	0	1277	0	4452	1749	0	0	1474	0	0	1168	1615	2262	2510	0	859	0	0	1467	2453	2017	667	0	1355	0	1531	1512	2331	0	0	0	0	0	0	607	0	0	884	0	2253	0	804	0	2335	2214	1031	1488	1373	1000	0	1738	410	461	774	2604	0	1176	0	1878	0	1522	0	2410	0	2325	0	465	0	0	0	2482	0	802	0
FMN_104811_P005_WC12	0	2161	906	2320	0	4039	0	1286	4610	0	1274	1675	1565	2010	6805	0	1267	1941	0	2263	0	2741	0	1287	1797	0	0	2315	0	2138	0	1322	739	2997	0	542	2506	0	801	1117	519	0	1236	0	1822	3241	0	3600	0	0	1884	0	736	2490	2263	0	0	1949	0	1236	0	544	0	1043	0	0	0	0	1851	952	0	1352	0	1498	2903	627	2425	2631	0	0	545	1442	1481	1462	2670	0	0	1315	0	1452	0	2173	1038	0	0	0	0	0	0	971	1784	0	3012	0	0	1240	0	1211	0	1875	1201	0	2653	979	0	1144	3162	2612	0	1327	2116	1089	1672	2313	2337	1458	1334	2878	1938	2427	2110	1539	1607	1401	2726	0	1062	991	1070	947	1316	0	0	0	1305	0	1961	0	0	2525	1874	939	1715	2359	785	0	1335	1499	2191	0	0	1050	0	0	2780	1488	1291	1810	1374	3521	1462	969	0	2767	2820	2503	1116	4949	1817	2740	1333	1839	0	576	1283	0	0	1847	1912	1701	1597	0	0	0	0	0	0	2112	0	1372	1684	1134	0	2351	945	640	2058	1447	2156	1345	835	553	1421	0	0	1872	0	786	0	1757	0	1601	2287	0	1186	4800	1935	1868	0	1846	868	2057	0	1267	0	1322	0	0	1077	0	819	1697	3391	976	981	0	2053	785	1353	0	0	0	1719	0	0	3433	0	0	667	0	0	748	985	0	3174	950	1155	1211	0	0	2763	0	1167	0	1200	0	0	0	1326	2310	2271	0	1074	1521	0	0	0	1651	2915	2016	0	0	1838	1120	0	0	1706	3326	0	0	3137	2807	0	1677	1806	1001	1623	0	1987	0	4315	1974	743	0	2150	965	0	1420	1875	2670	3533	0	1508	0	631	1916	2674	2514	906	0	1680	0	1699	1798	2901	0	0	0	575	0	0	970	0	0	1412	0	2688	0	1269	0	4192	2655	1506	2201	1778	1734	0	3351	1353	556	1169	2928	0	1774	0	2226	0	2131	0	2559	0	2154	0	0	0	0	0	2114	1701	1006	0
FMN_104811_P005_WD01	0	2313	1152	2489	0	4382	0	1156	5049	0	1627	1753	1524	1985	6558	0	1165	2016	0	2232	0	2548	955	1141	1841	0	487	2238	0	2838	0	1379	485	3418	0	0	2673	0	627	1294	1200	0	1153	0	2016	3356	0	3694	0	0	2009	0	703	2526	2269	0	0	1970	0	1518	0	594	0	0	0	0	0	0	2573	1042	0	1376	0	2222	2869	719	3061	2859	0	0	0	2166	1536	1646	2606	963	0	1046	0	1425	0	3113	1110	0	0	0	0	0	0	1692	1540	0	3153	379	0	1461	0	816	0	1903	1548	0	2540	1213	0	1174	3189	3287	0	2027	2468	589	1573	1854	2222	1701	1152	3052	1614	2885	2184	2127	1716	3133	3017	0	1073	1267	826	1005	1620	0	0	0	1203	0	2466	0	0	2813	1863	1441	1532	2825	1210	418	1213	834	2803	0	0	1275	0	0	2319	1339	1615	1386	902	3477	1907	1481	0	2517	2880	2895	1832	4220	1909	2877	1107	1893	0	0	0	0	0	2227	1698	1735	1631	0	1325	0	0	0	1812	2202	0	1199	1584	1320	0	2222	1065	786	1845	1870	2270	1332	1376	1069	1326	0	0	1753	0	925	0	1591	1470	1283	1702	0	1401	5242	1953	1752	0	1982	0	1695	0	1445	0	906	0	0	1033	782	1134	1345	2851	1118	848	0	2334	1260	988	0	0	0	2311	0	0	2831	0	1309	1033	0	0	1076	1576	0	2655	1186	1500	1361	0	0	3385	0	497	0	1344	0	0	0	1667	2341	2893	0	855	1529	0	730	0	1650	2929	2142	0	989	1550	1171	0	0	1716	2589	0	0	3504	2614	0	1312	1679	781	1676	0	2193	0	5016	1685	877	0	2063	778	0	1640	2200	2649	3035	0	1660	0	483	2468	2741	2288	980	0	2054	0	1779	2304	3014	0	0	0	0	0	0	962	0	0	1367	0	2684	707	1447	0	4662	2547	1506	2251	3463	1816	0	2125	876	698	1647	2675	0	2008	0	2462	0	2101	0	2444	0	2829	933	0	0	0	0	3445	1038	1510	0
FMN_104811_P005_WD02	0	2027	0	2293	650	4405	0	1489	4537	0	1365	1691	1188	2225	6767	0	1219	2020	0	2174	0	2673	0	693	1923	0	0	2463	0	2251	0	1403	823	3032	0	0	2427	0	924	1249	0	0	1205	0	1603	3267	0	3444	0	0	2550	0	867	2207	2089	0	0	2008	0	1186	0	749	0	664	0	0	0	0	1941	884	0	1671	0	1380	2585	0	2440	2817	0	0	0	1671	1416	1465	2572	0	0	1121	0	1132	0	2538	1003	0	0	0	0	0	0	411	1688	0	3217	0	0	1534	0	936	0	1891	1079	0	2952	723	0	1279	2572	2985	0	2637	2368	750	1693	1889	2478	1648	1252	2364	1827	2551	1900	1544	2314	1788	2919	0	1165	0	743	976	1549	0	0	0	1075	0	2167	0	0	2772	1851	1108	1526	1885	843	0	1317	910	2978	0	0	992	0	0	1987	1308	1318	1452	914	3576	1684	1172	0	2548	2900	2615	1849	4744	1699	3041	718	1867	0	0	476	0	0	2038	1113	1647	1713	0	0	0	0	0	0	1792	0	1395	1625	1136	625	2497	1287	777	1945	1051	2301	1244	1713	727	1533	0	0	1615	0	639	0	1277	1117	1978	2067	0	1398	4653	1852	1429	0	1752	0	1983	0	0	0	1338	0	0	1270	0	840	1459	2862	1056	670	0	2230	726	972	0	0	0	1683	0	0	3071	0	0	0	0	0	921	1284	0	2776	1275	0	1312	0	0	3444	0	1153	0	1632	0	0	0	1376	2111	2250	0	0	1774	0	0	0	1223	2645	2528	0	0	799	1394	0	0	1568	2625	0	0	3054	2846	0	1567	1344	1012	1625	0	1934	0	4521	2075	0	0	2052	873	0	1397	2325	2816	4242	0	1305	0	392	1807	2688	2744	738	0	1899	0	1887	793	3135	0	0	0	0	0	0	943	0	0	1638	0	2820	406	1349	0	4209	2902	1506	2150	2046	1886	0	1777	679	610	1107	2973	0	1714	0	2529	0	1973	0	2103	0	2585	0	0	0	0	0	3108	1147	879	0
FMN_104811_P005_WD04	0	1929	0	2219	0	2995	0	1269	4784	0	1449	1510	915	1819	6074	0	1059	1387	0	2568	0	2143	0	1004	1572	0	0	2222	0	2388	0	853	0	3262	0	0	2262	0	747	840	0	0	996	0	1726	3126	0	3099	0	0	1599	0	465	2425	1922	0	0	1382	0	732	0	0	0	0	0	0	0	0	1595	825	0	906	0	1115	2627	439	2227	2721	0	0	0	1522	1095	1456	2472	0	0	1064	0	1244	0	2107	0	0	0	0	0	0	0	655	1532	0	2582	0	0	895	0	864	0	1733	894	0	2538	434	0	1029	2213	2035	0	1321	2152	0	1730	2047	2010	1581	1025	2680	1278	2124	2072	945	1258	994	2726	0	845	0	765	875	1280	0	0	0	1080	0	1690	0	0	2516	1715	826	1348	976	0	0	1026	538	2669	0	0	1090	0	0	1708	0	1321	2121	845	3387	1624	952	0	2037	2707	2380	1517	0	1650	2709	0	1550	0	0	564	0	0	3231	1832	1400	1672	0	0	0	0	0	782	1936	0	1158	1239	1222	0	2079	1074	0	1881	1323	2395	1069	1577	0	1314	0	0	1323	0	763	0	1241	0	1143	1738	0	984	4227	1568	1573	0	1746	649	1390	0	403	0	687	0	0	1040	0	0	1364	2441	843	627	0	2254	612	847	0	0	0	1324	0	0	2655	0	0	0	0	0	691	684	0	2910	915	474	1106	0	0	3063	0	828	0	1211	0	0	0	1097	1026	2046	0	0	1635	0	0	0	1142	2688	1377	0	0	1003	830	0	0	1189	2270	0	0	2731	2581	0	1293	1634	714	1451	0	1447	0	4312	1568	0	0	1429	913	0	1010	1994	2564	2848	0	1011	0	0	1675	2532	2066	970	0	1561	0	1619	1621	2821	0	0	0	0	0	0	819	0	0	1117	0	2413	0	1131	0	3571	2699	1285	1710	2999	933	0	1793	615	782	852	2806	0	1376	0	2201	0	1788	0	2119	0	3082	0	0	0	0	0	1900	1064	931	0
FMN_104811_P005_WD05	0	1954	0	2356	0	3143	0	1057	4488	0	1335	1322	2035	2157	6440	0	869	1954	0	2091	0	2383	0	2182	1871	0	0	1727	0	2554	0	906	854	2945	0	0	2062	0	913	506	0	0	2247	0	1499	1904	0	3067	0	0	1798	0	819	2149	1685	0	0	1575	0	0	0	0	0	721	0	0	0	0	1707	1023	0	1197	0	1339	2543	845	2324	2514	0	0	0	1532	0	1309	2371	0	0	1079	0	1377	0	2092	0	0	0	0	0	0	0	559	1709	482	2720	0	0	1325	0	1272	0	1823	1161	0	2731	488	0	1213	1897	2400	0	1521	2047	0	1712	2154	2209	1358	1020	2648	980	2209	2091	1118	1216	1469	2741	0	1050	0	1038	549	1400	0	0	0	986	0	2004	0	0	2169	1359	1134	1273	2364	468	0	1457	1001	2232	0	0	1037	0	0	1908	1373	1051	1584	1246	3332	1419	1027	0	1829	2644	2292	2056	4699	1585	2906	502	1584	0	0	471	0	0	3456	1143	1255	1668	0	0	0	0	0	0	1816	0	1033	1347	1380	0	1818	1053	667	1994	1319	2077	1248	1075	0	1218	0	0	1474	0	829	0	1435	0	1402	1127	0	741	4595	1701	1576	0	1906	430	994	0	691	0	1107	0	0	990	853	0	2117	2984	983	857	0	1926	498	904	0	0	0	1031	0	0	2864	0	0	0	0	0	825	1232	0	2802	1139	0	1244	0	0	2608	0	919	0	1862	0	0	0	780	1875	1988	0	0	1333	0	0	0	1262	2486	1441	0	0	843	985	759	0	1709	2133	0	0	2361	2715	0	1225	1314	984	1401	0	2008	0	4693	1957	0	0	2913	675	0	1275	2075	2365	3218	0	884	0	698	1616	2422	2055	747	0	1601	0	1578	2085	2864	0	0	0	0	0	0	541	0	0	763	0	2370	708	956	0	3967	2592	1297	1719	1635	1524	0	1496	1123	873	863	2637	0	1312	0	2126	0	1592	0	2381	0	3061	0	0	0	0	0	2853	1570	801	619
FMN_104811_P005_WD06	0	2108	646	2367	0	3759	0	1162	4618	0	1763	1468	2141	2050	6476	0	0	2027	0	2196	0	2563	0	945	1841	0	0	2456	0	2618	0	1094	0	3149	0	0	1907	0	559	0	0	0	1171	0	1981	1788	0	3007	0	0	1558	0	946	2198	1663	0	0	1854	0	791	0	0	0	626	0	0	0	0	1636	812	0	1385	0	1472	1997	498	2298	2872	0	0	0	1544	1021	1316	2360	1346	0	1069	0	1467	0	2222	0	0	0	0	0	0	0	817	1607	543	2494	0	0	0	0	1118	0	3476	952	0	2632	0	0	1240	2568	2509	0	1931	2120	0	1456	2055	2164	1478	1109	2306	1011	2220	1994	1507	1570	1541	2719	0	1034	0	743	612	1391	0	0	0	961	0	2077	0	0	2751	1780	586	1286	1699	706	0	1111	592	2749	0	0	841	0	0	2279	648	1212	1341	589	3524	1530	1346	0	1938	2784	2403	1595	4713	1584	2779	590	1850	0	396	0	0	0	1803	638	1398	1632	0	0	0	0	0	0	1952	0	1211	1314	1219	0	1069	865	797	1938	1080	2117	853	964	0	1300	0	0	1776	0	663	0	1539	0	1280	1785	0	1059	4540	1639	1970	0	1849	653	1561	0	0	0	1302	0	0	1306	0	0	1385	2697	1072	775	0	1953	880	0	0	0	0	1736	0	0	2810	0	0	804	0	0	0	0	0	2975	1152	745	1017	0	0	2730	0	766	0	1614	0	0	0	1079	1911	2185	0	0	1264	0	0	0	1465	2665	1959	0	0	771	760	0	0	1490	2325	0	0	3020	2520	0	1430	2705	1056	1648	0	1447	0	4576	2014	0	0	1751	0	0	1330	1650	2539	4064	0	843	0	0	1895	2269	2198	575	0	1826	0	1402	1786	3054	0	0	0	0	0	0	645	0	0	815	0	2527	0	1226	0	3985	2611	1367	829	1823	1329	0	1494	452	710	1150	3534	0	1467	0	2244	0	1673	0	2245	0	2370	0	0	0	0	0	2539	479	845	0
FMN_104811_P005_WD07	0	2041	0	2240	0	3858	0	1117	4224	0	1436	1683	1462	2275	6430	0	902	1829	0	2339	0	2526	0	1340	2091	0	0	2160	0	2247	0	776	0	2973	0	0	2130	0	724	0	0	0	903	0	1898	3479	0	3178	0	0	1306	0	678	2359	1868	0	0	1763	0	1017	0	0	0	707	0	0	0	0	1662	1049	0	1231	0	1329	2425	757	2320	2917	0	0	851	1574	1265	1505	2549	1742	0	777	0	1435	0	2205	0	0	0	0	0	0	0	660	1296	0	2743	0	0	906	0	852	0	1600	987	0	2463	468	0	1064	2103	2341	0	1756	2029	854	1751	1606	2134	1385	1090	2657	1352	2519	2165	887	1662	1253	2858	0	906	0	780	928	1099	0	0	0	1259	0	1851	0	0	2797	1894	926	1346	2566	602	0	1069	665	2321	0	0	952	0	0	2136	1305	1171	1932	1038	3273	1575	905	0	2050	2506	2495	1421	4398	1653	2796	661	1663	0	0	490	0	0	1754	1189	1306	1822	0	552	0	0	0	0	1628	0	1234	1399	1178	0	1906	865	704	1722	1299	2092	1012	1306	579	1500	0	0	1646	0	740	0	1549	733	1410	1693	0	1208	4806	1760	1654	0	1865	1088	1432	0	621	0	1119	0	0	893	0	0	1628	3027	857	667	0	2242	861	825	0	0	0	1574	0	0	2746	0	535	0	0	0	811	1246	0	2780	1062	1113	986	0	0	2781	0	975	0	1114	0	0	0	1094	2285	2218	0	0	1358	0	0	0	1357	2674	1190	0	0	957	1021	0	0	1392	2055	0	0	2943	2576	0	1297	1466	1176	1710	0	2141	0	4882	2066	583	0	1878	460	0	1009	1982	2629	3256	0	882	0	0	1702	2342	2334	672	0	1427	0	1261	1502	3244	0	0	0	0	0	0	0	0	0	786	0	2691	0	1223	0	3412	2609	1436	1875	1595	1544	0	1814	518	564	580	2879	0	1239	0	1992	0	1997	0	2632	0	2335	0	0	0	0	0	1948	1008	812	0
FMN_104811_P005_WD08	0	2021	386	2019	0	2917	0	1140	4462	0	1495	1506	1073	1760	6478	0	1160	1736	0	2708	0	2567	0	811	1430	0	0	2023	0	1881	0	702	0	2935	0	0	1976	0	678	0	0	0	889	0	1732	3274	0	3199	0	0	1553	0	1349	2187	1528	0	0	1762	0	662	0	437	0	729	0	0	0	0	1649	648	0	1246	0	1152	1975	674	2177	2814	0	0	0	1514	1337	1276	2400	558	0	918	0	1214	0	1980	0	0	0	0	0	0	0	741	1325	0	2743	0	0	1340	0	949	0	1661	947	0	2590	464	0	1029	2122	1966	0	1501	2132	986	1455	1922	2180	1342	1146	2536	775	2168	2054	980	1157	1478	2671	0	1215	0	640	552	1089	0	0	0	1153	0	1867	0	0	2255	1311	976	1447	2193	575	0	886	605	1860	0	0	969	0	0	1678	841	1006	760	1045	3480	1291	1240	0	2021	2497	2371	1595	4209	1620	2774	652	1661	0	0	0	0	0	1721	750	1245	1674	0	0	0	0	0	0	1778	0	1305	1209	938	0	1867	814	421	1928	1408	2049	878	954	0	1071	0	0	1522	0	711	0	1358	0	1434	1905	0	1053	4447	1710	1261	0	1642	464	1092	0	556	0	1045	0	0	969	0	0	1382	3224	1030	798	0	1852	882	628	0	0	0	1479	0	0	2673	0	0	0	0	0	727	954	0	2688	960	626	1077	0	0	2887	0	965	0	1034	0	0	0	1071	2154	1990	0	0	1399	0	0	0	1357	2880	1718	0	0	819	1224	0	0	1339	1888	0	0	2364	2509	0	1393	1339	872	1444	0	855	0	4360	1798	0	0	2012	683	0	1275	2232	2383	3248	0	734	0	524	1565	2285	2277	0	0	1629	0	1463	1734	2767	0	0	0	0	0	0	0	0	0	1246	0	2736	0	1127	0	2112	2445	1268	1503	1463	853	0	1673	498	0	727	2724	0	1230	0	1972	0	1653	0	2201	0	5007	0	0	0	0	0	2485	1141	850	0
FMN_104811_P005_WD09	0	2060	722	2441	0	3920	0	1425	4369	0	1417	1404	1137	2268	6844	0	1348	2784	0	1684	0	2632	0	1503	1969	0	0	2591	0	2397	0	1029	0	3098	0	0	2352	0	789	624	519	0	1680	0	1818	3163	0	3327	0	0	1719	0	721	2454	1597	0	0	1764	0	1221	0	699	0	754	0	0	0	0	1882	1195	0	1541	0	1515	2430	821	2502	2619	0	0	0	1627	1005	1508	2716	0	0	1268	0	1564	0	2495	1021	0	0	0	789	0	0	815	1785	0	2275	0	0	1133	0	1009	0	2014	1290	0	2792	702	0	1311	2514	2519	0	1856	2398	1131	1650	2154	2171	1602	1410	2692	1160	2420	2274	1381	2037	1667	2807	0	1257	596	1176	616	1326	0	0	0	1331	0	1989	0	0	2131	1781	1065	1420	2878	1140	0	1626	892	2842	0	0	1204	0	0	2241	1361	1481	2388	1520	3435	1885	1375	0	2242	2674	2326	1307	5247	1889	2919	819	1663	608	524	883	0	0	1974	1208	1230	1933	0	565	0	0	0	0	1955	0	1208	1650	1247	0	1773	1180	593	2331	1535	2153	1172	1392	1495	1514	0	0	1486	0	1039	0	1456	553	1474	2227	0	885	4795	1823	1691	0	1703	0	1639	0	0	0	961	0	0	1546	803	0	1987	2782	1283	973	0	2171	701	739	0	0	0	1560	0	0	2938	0	0	765	0	0	755	1406	0	3318	1257	807	1265	0	0	3503	0	1035	0	1355	0	0	0	1216	2560	2442	0	0	1371	0	0	0	1292	2784	1701	0	0	1708	810	0	0	1764	2245	0	0	2850	3184	0	1423	1620	1297	1469	0	1784	0	4625	1843	586	0	1780	878	0	1649	1933	2638	3585	0	1338	0	0	1901	2309	2225	1017	0	1629	0	1725	0	2654	0	0	0	0	0	792	0	0	0	1233	0	2545	0	1238	0	3534	2465	1396	1398	1780	1787	0	1851	813	793	1192	3131	0	1241	0	2265	0	1778	0	2581	0	4175	0	600	0	0	0	3075	1097	791	0
FMN_104811_P005_WD10	0	2008	0	2284	0	2434	0	1082	4589	0	845	1415	1905	1742	6194	0	0	1595	0	1872	0	2266	0	687	1648	0	0	1972	0	1697	0	750	0	0	0	0	1972	0	0	0	0	0	988	0	1364	2300	0	3137	0	0	1715	0	0	2144	1433	0	0	1295	0	897	0	0	0	0	0	0	0	0	1484	853	0	1185	0	1234	2531	671	2062	2884	0	0	0	1638	870	1352	2465	1817	0	842	0	985	0	2083	0	0	0	0	0	0	0	0	1701	640	2409	0	0	1620	0	1047	0	1628	883	0	2495	0	0	1180	2142	2154	0	1405	2207	0	1277	1675	2167	1337	1096	2306	865	2064	1092	1082	1472	1011	2702	0	848	0	748	714	1362	0	0	0	939	0	1865	0	0	2468	1703	804	1490	2113	419	0	936	620	2043	0	0	890	0	0	2059	650	1348	751	814	3043	1600	943	0	1850	2551	2976	1563	4307	1548	2872	839	1626	0	0	0	0	0	1783	561	1318	1638	0	0	0	0	0	0	1846	0	1100	1056	1742	0	1282	821	0	1656	1197	1852	1097	842	0	1223	0	0	1402	0	498	0	1316	0	1084	1532	0	995	4486	1731	1409	0	1950	0	958	0	583	0	1237	0	0	488	0	0	1329	2334	854	654	0	1824	532	589	0	0	0	1422	0	0	2705	0	0	0	0	0	726	2129	0	2767	1055	807	1181	0	0	2740	0	824	0	1200	0	0	0	864	1614	1933	0	0	1347	0	0	0	1461	2555	1789	0	0	524	0	0	0	1570	2052	0	0	1681	2519	0	1240	992	977	1458	0	699	0	4691	1710	0	0	1493	0	0	1293	2044	2295	3347	0	740	0	0	2210	2791	1953	571	0	1503	0	1530	1351	2660	0	0	0	0	0	0	0	0	0	728	0	2679	0	1230	0	2753	2647	1141	810	1652	841	0	1789	589	398	688	2787	0	1367	0	1986	0	1744	0	2518	0	3030	0	0	0	0	0	1833	440	837	0
FMN_104811_P005_WD11	0	2331	954	2235	0	4142	0	1644	4674	0	1598	1957	2133	2409	6044	0	1696	2571	0	2392	0	2448	0	955	1430	0	490	2303	0	2379	0	1246	1075	3381	0	0	2256	0	1119	864	0	0	1324	0	1510	3181	0	3586	0	0	1855	0	1108	1997	1762	0	0	1942	0	1120	0	595	0	819	0	0	0	0	1770	807	0	1582	0	1547	5182	994	3041	2720	0	0	0	2181	1337	1909	2691	0	0	780	0	1436	0	2756	0	0	0	0	0	0	0	752	1796	0	2900	0	0	917	0	1103	0	0	1184	0	2824	966	0	1192	3181	3330	0	1963	2273	1102	1578	2560	2625	1641	1343	3161	1068	2428	2334	1719	1710	1787	2904	0	1251	0	1100	1096	1734	0	0	0	1365	0	2098	0	0	2408	1759	1024	1588	3250	660	427	1404	933	3364	0	0	1056	0	0	2104	1069	1580	2373	1389	3563	1640	1011	0	2791	2943	2593	1956	4919	1761	2326	1037	1805	0	0	0	0	0	2120	1735	1830	1776	0	0	0	0	0	0	2229	0	1195	1418	1195	0	2604	1032	1036	2378	1669	2427	1000	1651	727	1726	0	0	1816	0	1082	0	1537	0	1706	1550	0	1465	4849	1881	1980	0	1872	0	1388	0	988	0	1311	0	0	702	836	0	1577	3307	1080	1160	0	2512	869	1036	0	0	0	1886	0	0	3114	0	579	0	0	0	838	1198	0	2611	1258	1429	1307	0	0	2869	0	1158	0	1282	0	0	0	1043	2768	2824	0	0	1522	0	0	0	1296	2774	2023	0	0	1112	1229	0	0	1521	2270	0	0	2977	2836	0	1539	1702	1054	1728	0	1224	0	4788	1986	543	0	1833	994	0	1558	1950	2540	3300	0	1333	0	1249	2298	2771	2471	871	0	1648	0	1778	2365	3214	0	0	0	0	0	0	0	0	0	1215	0	2768	872	1086	0	4072	2725	1440	2424	1921	1962	0	1972	951	1012	987	3063	0	1622	0	2315	0	2125	0	2244	0	5032	0	0	0	0	0	3195	2015	932	0
FMN_104811_P005_WE01	0	2235	1019	2465	0	4348	0	1555	4763	0	1777	1762	1391	2035	7104	0	773	2096	0	2529	0	2623	0	1201	2290	0	771	2650	0	2839	0	1407	1332	3370	0	0	2350	1157	1143	997	0	0	1930	0	1665	3265	0	3443	700	0	1754	0	1007	2325	2130	0	0	2101	0	952	0	1026	0	818	0	0	0	0	1897	987	0	1581	0	1483	3130	706	2758	3074	0	0	0	1591	1422	1606	2759	0	0	1169	0	1706	0	2476	0	544	0	0	0	0	0	1695	2190	0	2501	0	0	2115	0	1271	0	2188	1066	0	3393	1228	0	982	3268	2363	0	1804	2469	1187	1751	2568	2597	1646	1516	3528	1498	2562	2496	1569	1645	1589	3026	0	1996	0	1043	920	1535	0	0	0	1723	0	2404	0	0	2795	1923	1135	1674	3065	1062	0	1357	1200	2327	0	0	1236	0	0	1822	1304	1303	1008	1530	3209	1750	1270	0	2336	2778	2699	1628	5281	2292	3003	819	1793	0	481	740	0	0	1848	1909	1359	2000	0	0	0	0	0	1727	2138	0	1325	1510	1479	0	2324	557	1825	2184	1578	2446	1569	1326	1898	1552	0	0	1818	0	1089	0	1792	368	1367	2111	0	1280	6074	1953	2071	686	2095	0	1474	0	1517	0	1206	0	0	1830	0	0	1612	2689	1384	1181	1023	2282	1104	1169	0	0	0	1920	0	0	2940	0	1117	0	0	0	1554	958	0	3149	1233	1419	1377	0	0	3415	0	766	0	1309	0	0	0	1332	2313	3227	0	0	1659	0	0	0	1303	3095	2193	0	949	1770	1347	0	0	1722	3333	0	0	3186	2862	0	1468	1729	876	1691	0	2108	0	4728	1670	0	0	3674	806	0	1878	2118	2510	2853	0	1024	0	0	1790	2403	2300	802	0	1868	0	1971	986	2577	0	0	0	0	0	1213	1017	0	0	675	0	3775	751	1347	0	4826	2939	1495	0	2021	1261	0	1556	959	999	1451	3038	0	1507	0	2334	0	1554	0	2444	0	2637	0	0	0	0	0	3121	2366	1020	0
